CUST-4997,144.09bpm,4.64m/sec,Walking,2025-05-03 12:33:24.525999
CUST-4998,179.91bpm,5.88m/sec,Swimming,2025-05-03 12:33:24.526028
CUST-4999,128.93bpm,3.88m/sec,Hiking,2025-05-03 12:33:24.526043
CUST-5000,183.38bpm,4.69m/sec,Hiking,2025-05-03 12:33:24.526056
CUST-5001,148.54bpm,5.49m/sec,Running,2025-05-03 12:33:24.526068
CUST-5002,201.33bpm,4.45m/sec,Hiking,2025-05-03 12:33:24.526081
CUST-5003,196.42bpm,5.88m/sec,Swimming,2025-05-03 12:33:24.526093
CUST-5004,146.74bpm,10.39m/sec,Walking,2025-05-03 12:33:24.526106
CUST-5005,187.43bpm,2.13m/sec,Swimming,2025-05-03 12:33:24.526118
CUST-5006,112.71bpm,10.4m/sec,Walking,2025-05-03 12:33:24.526130
CUST-5007,176.8bpm,8.8m/sec,Walking,2025-05-03 12:33:24.526143
CUST-5008,178.89bpm,7.24m/sec,Walking,2025-05-03 12:33:24.526155
CUST-5009,117.32bpm,7.26m/sec,Hiking,2025-05-03 12:33:24.526167
CUST-5010,174.03bpm,7.13m/sec,Swimming,2025-05-03 12:33:24.526179
CUST-5011,191.27bpm,10.31m/sec,Swimming,2025-05-03 12:33:24.526192
CUST-5012,128.19bpm,6.86m/sec,Walking,2025-05-03 12:33:24.526204
CUST-5013,192.32bpm,5.27m/sec,Running,2025-05-03 12:33:24.526216
CUST-5014,158.22bpm,9.07m/sec,Swimming,2025-05-03 12:33:24.526229
CUST-5015,132.16bpm,1.11m/sec,Hiking,2025-05-03 12:33:24.526240
CUST-5016,107.33bpm,4.28m/sec,Walking,2025-05-03 12:33:24.526253
CUST-5017,131.88bpm,8.62m/sec,Swimming,2025-05-03 12:33:24.526265
CUST-5018,154.37bpm,5.78m/sec,Running,2025-05-03 12:33:24.526277
CUST-5019,196.04bpm,4.03m/sec,Swimming,2025-05-03 12:33:24.526289
CUST-5020,161.1bpm,10.48m/sec,Swimming,2025-05-03 12:33:24.526301
CUST-5021,189.29bpm,7.87m/sec,Swimming,2025-05-03 12:33:24.526313
CUST-5022,204.08bpm,8.08m/sec,Running,2025-05-03 12:33:24.526325
CUST-5023,112.19bpm,8.6m/sec,Swimming,2025-05-03 12:33:24.526337
CUST-5024,156.05bpm,1.19m/sec,Swimming,2025-05-03 12:33:24.526349
CUST-5025,172.4bpm,4.73m/sec,Running,2025-05-03 12:33:24.526362
CUST-5026,140.33bpm,3.88m/sec,Running,2025-05-03 12:33:24.526374
CUST-5027,107.73bpm,2.39m/sec,Swimming,2025-05-03 12:33:24.526386
CUST-5028,161.7bpm,7.34m/sec,Hiking,2025-05-03 12:33:24.526398
CUST-5029,146.53bpm,7.85m/sec,Hiking,2025-05-03 12:33:24.526411
CUST-5030,159.34bpm,9.01m/sec,Hiking,2025-05-03 12:33:24.526423
CUST-5031,130.8bpm,1.48m/sec,Running,2025-05-03 12:33:24.526435
CUST-5032,144.18bpm,6.19m/sec,Walking,2025-05-03 12:33:24.526447
CUST-5033,124.79bpm,5.69m/sec,Walking,2025-05-03 12:33:24.526460
CUST-5034,175.53bpm,10.97m/sec,Running,2025-05-03 12:33:24.526472
CUST-5035,127.28bpm,6.96m/sec,Hiking,2025-05-03 12:33:24.526484
CUST-5036,188.55bpm,11.62m/sec,Swimming,2025-05-03 12:33:24.526496
CUST-5037,180.36bpm,9.22m/sec,Walking,2025-05-03 12:33:24.526508
CUST-5038,192.5bpm,11.5m/sec,Hiking,2025-05-03 12:33:24.526521
CUST-5039,200.39bpm,8.22m/sec,Running,2025-05-03 12:33:24.526533
CUST-5040,124.98bpm,11.77m/sec,Hiking,2025-05-03 12:33:24.526545
CUST-5041,198.82bpm,11.98m/sec,Running,2025-05-03 12:33:24.526558
CUST-5042,198.56bpm,10.72m/sec,Hiking,2025-05-03 12:33:24.526570
CUST-5043,169.8bpm,6.56m/sec,Swimming,2025-05-03 12:33:24.526582
CUST-5044,101.33bpm,7.74m/sec,Swimming,2025-05-03 12:33:24.526594
CUST-5045,112.77bpm,2.46m/sec,Walking,2025-05-03 12:33:24.526607
CUST-5046,202.75bpm,7.23m/sec,Hiking,2025-05-03 12:33:24.526619
CUST-5047,205.01bpm,8.93m/sec,Running,2025-05-03 12:33:24.526631
CUST-5048,171.35bpm,10.54m/sec,Running,2025-05-03 12:33:24.526643
CUST-5049,119.11bpm,4.48m/sec,Hiking,2025-05-03 12:33:24.526655
CUST-5050,143.32bpm,11.95m/sec,Running,2025-05-03 12:33:24.526667
CUST-5051,101.84bpm,9.16m/sec,Running,2025-05-03 12:33:24.526680
CUST-5052,151.1bpm,8.21m/sec,Running,2025-05-03 12:33:24.526692
CUST-5053,183.83bpm,11.92m/sec,Walking,2025-05-03 12:33:24.526704
CUST-5054,129.52bpm,11.38m/sec,Swimming,2025-05-03 12:33:24.526716
CUST-5055,169.46bpm,6.49m/sec,Swimming,2025-05-03 12:33:24.526728
CUST-5056,172.44bpm,7.54m/sec,Hiking,2025-05-03 12:33:24.526740
CUST-5057,141.56bpm,3.72m/sec,Walking,2025-05-03 12:33:24.526751
CUST-5058,178.83bpm,5.58m/sec,Swimming,2025-05-03 12:33:24.526763
CUST-5059,202.49bpm,1.63m/sec,Swimming,2025-05-03 12:33:24.526776
CUST-5060,103.14bpm,2.23m/sec,Swimming,2025-05-03 12:33:24.526788
CUST-5061,117.63bpm,5.36m/sec,Hiking,2025-05-03 12:33:24.526801
CUST-5062,184.99bpm,6.42m/sec,Swimming,2025-05-03 12:33:24.526813
CUST-5063,158.83bpm,6.49m/sec,Hiking,2025-05-03 12:33:24.526825
CUST-5064,112.56bpm,9.15m/sec,Walking,2025-05-03 12:33:24.526837
CUST-5065,169.65bpm,10.73m/sec,Running,2025-05-03 12:33:24.526849
CUST-5066,178.87bpm,11.1m/sec,Walking,2025-05-03 12:33:24.526861
CUST-5067,143.8bpm,9.56m/sec,Walking,2025-05-03 12:33:24.526873
CUST-5068,144.29bpm,5.11m/sec,Running,2025-05-03 12:33:24.526885
CUST-5069,184.77bpm,11.89m/sec,Walking,2025-05-03 12:33:24.526897
CUST-5070,101.02bpm,2.1m/sec,Walking,2025-05-03 12:33:24.526909
CUST-5071,198.04bpm,11.09m/sec,Running,2025-05-03 12:33:24.526921
CUST-5072,200.06bpm,5.41m/sec,Swimming,2025-05-03 12:33:24.526933
CUST-5073,147.05bpm,2.23m/sec,Swimming,2025-05-03 12:33:24.526947
CUST-5074,196.63bpm,3.93m/sec,Hiking,2025-05-03 12:33:24.526959
CUST-5075,147.15bpm,4.57m/sec,Swimming,2025-05-03 12:33:24.526971
